Date,Open,High,Low,Close,Next_Day_Return,Target
2021-09-20,17443.85,17622.75,17361.8,17396.9,0.009490196529266625,1
2021-09-21,17450.5,17578.35,17326.1,17562.0,-0.0008740462361916949,0
2021-09-22,17580.9,17610.45,17524.0,17546.65,0.015746595503985047,1
2021-09-23,17670.85,17843.9,17646.55,17822.95,0.0016972498940972173,1
2021-09-24,17897.45,17947.65,17819.4,17853.2,0.00010642349830830423,1
2021-09-27,17932.2,17943.5,17802.9,17855.1,-0.005964682359661946,0
2021-09-28,17906.45,17912.85,17576.1,17748.6,-0.0021015742086699387,0
2021-09-29,17657.95,17781.75,17608.15,17711.3,-0.005259354197602538,0
2021-09-30,17718.9,17742.15,17585.35,17618.15,-0.004887005729886633,0
2021-10-01,17531.9,17557.15,17452.9,17532.05,0.00908051254702107,1
2021-10-04,17615.55,17750.9,17581.35,17691.25,0.007407616759697549,1
2021-10-05,17661.35,17833.45,17640.9,17822.3,-0.009892101468385072,0
2021-10-06,17861.5,17884.6,17613.15,17646.0,0.008180324152782418,1
2021-10-07,17810.55,17857.55,17763.8,17790.35,0.005893644588217893,1
2021-10-08,17886.85,17941.85,17840.35,17895.2,0.002835956010550315,1
2021-10-11,17867.55,18041.95,17839.1,17945.95,0.002563252433000203,1
2021-10-12,17915.8,18008.65,17864.95,17991.95,0.009437554017213213,1
2021-10-13,18097.85,18197.8,18050.75,18161.75,0.009734744724489616,1
2021-10-14,18272.85,18350.75,18248.7,18338.55,0.0075523964544634125,1
2021-10-18,18500.1,18543.15,18445.3,18477.05,-0.0031552655862271996,0
2021-10-19,18602.35,18604.45,18377.7,18418.75,-0.008260604004072017,0
2021-10-20,18439.9,18458.3,18209.35,18266.6,-0.004844908193095595,0
2021-10-21,18382.7,18384.2,18048.0,18178.1,-0.003476710987396763,0
2021-10-22,18230.7,18314.25,18034.35,18114.9,0.000579633340509746,1
2021-10-25,18229.5,18241.4,17968.5,18125.4,0.007889481059728337,1
2021-10-26,18154.5,18310.45,18099.3,18268.4,-0.0031447745834337283,0
2021-10-27,18295.85,18342.05,18167.9,18210.95,-0.01942238049085856,0
2021-10-28,18187.65,18190.7,17799.45,17857.25,-0.010393537638774085,0
2021-10-29,17833.05,17915.85,17613.1,17671.65,0.014599655380227651,1
2021-11-01,17783.15,17954.1,17697.1,17929.65,-0.0022699829611844474,0
2021-11-02,17970.9,18012.25,17847.6,17888.95,-0.0033400507016901494,0
2021-11-03,17947.95,17988.75,17757.95,17829.2,0.004913288313552966,1
2021-11-04,17935.05,17947.55,17900.6,17916.8,0.008469704411502054,1
2021-11-08,18040.2,18087.8,17836.1,18068.55,-0.0013448782553109836,0
2021-11-09,18084.35,18112.6,17983.05,18044.25,-0.0014990925086938649,0
2021-11-10,17973.45,18061.25,17915.0,18017.2,-0.0079701618453479,0
2021-11-11,17967.45,17971.35,17798.2,17873.6,0.012820584549279467,1
2021-11-12,17977.6,18123.0,17905.9,18102.75,0.00037010951374795144,1
2021-11-15,18140.95,18210.15,18071.3,18109.45,-0.0060879816891181125,0
2021-11-16,18127.05,18132.65,17958.8,17999.2,-0.005586359393750792,0
2021-11-17,17939.35,18022.65,17879.25,17898.65,-0.007478217630938768,0
2021-11-18,17890.55,17945.6,17688.5,17764.8,-0.01960337296226245,0
2021-11-22,17796.25,17805.25,17280.45,17416.55,0.004983765441490954,1
2021-11-23,17281.75,17553.7,17216.1,17503.35,-0.005044748576700991,0
2021-11-24,17550.05,17600.6,17354.0,17415.05,0.006959497675860863,1
2021-11-25,17417.3,17564.35,17351.7,17536.25,-0.029071209637180087,0
2021-11-26,17338.75,17355.4,16985.7,17026.45,0.0016151341001794267,1
2021-11-29,17055.8,17160.7,16782.4,17053.95,-0.004148599004922613,0
2021-11-30,17051.15,17324.65,16931.4,16983.2,0.010816571670827684,1
2021-12-01,17104.4,17213.05,17064.25,17166.9,0.013674571413592436,1
2021-12-02,17183.2,17420.35,17149.3,17401.65,-0.01177761878902292,0
2021-12-03,17424.9,17489.8,17180.8,17196.7,-0.016540964254769853,0
2021-12-06,17209.05,17216.75,16891.7,16912.25,0.015636594775976037,1
2021-12-07,17044.1,17251.65,16987.75,17176.7,0.017060902268771026,1
2021-12-08,17315.25,17484.6,17308.95,17469.75,0.0026960889537628496,1
2021-12-09,17524.4,17543.25,17379.6,17516.85,-0.0003168377876158826,0
2021-12-10,17476.05,17534.35,17405.25,17511.3,-0.008169010867268522,0
2021-12-13,17619.1,17639.5,17355.95,17368.25,-0.0024959336720739595,0
2021-12-14,17283.2,17376.2,17225.8,17324.9,-0.0059740604563374095,0
2021-12-15,17323.65,17351.2,17192.2,17221.4,0.001567816786091723,1
2021-12-16,17373.0,17379.35,17184.95,17248.4,-0.015259386377866974,0
2021-12-17,17276.0,17298.15,16966.45,16985.2,-0.021842545274709746,0
2021-12-20,16824.25,16840.1,16410.2,16614.2,0.009428681489328274,1
2021-12-21,16773.15,16936.4,16688.25,16770.85,0.011007194030117864,1
2021-12-22,16865.55,16971.0,16819.5,16955.45,0.006909282855954741,1
2021-12-23,17066.8,17118.65,17015.55,17072.6,-0.0040327776671390736,0
2021-12-24,17149.5,17155.6,16909.6,17003.75,0.004851870910828494,1
2021-12-27,16937.75,17112.05,16833.2,17086.25,0.008603409174043456,1
2021-12-28,17177.6,17250.25,17161.15,17233.25,-0.0011402376220388758,0
2021-12-29,17220.1,17285.95,17176.65,17213.6,-0.0005606032439465201,0
2021-12-30,17201.45,17264.05,17146.35,17203.95,0.008724740539236544,1
2021-12-31,17244.5,17400.8,17238.5,17354.05,0.01565340655351353,1
2022-01-03,17387.15,17646.65,17383.3,17625.7,0.010186829459255477,1
2022-01-04,17681.4,17827.6,17593.55,17805.25,0.006739585234692015,1
2022-01-05,17820.1,17944.7,17748.85,17925.25,-0.01000543925468256,0
2022-01-06,17768.5,17797.95,17655.55,17745.9,0.0037642497703694526,1
2022-01-07,17797.6,17905.0,17704.55,17812.7,0.010700230734251323,1
2022-01-10,17913.3,18017.45,17879.15,18003.3,0.0029133547738470576,1
2022-01-11,17997.75,18081.25,17964.4,18055.75,0.0086731373662129,1
2022-01-12,18170.4,18227.95,18128.8,18212.35,0.002495559331991793,1
2022-01-13,18257.0,18272.25,18163.8,18257.8,-0.0001122807786260816,0
2022-01-14,18185.0,18286.95,18119.65,18255.75,0.002867589663530589,1
2022-01-17,18235.65,18321.55,18228.75,18308.1,-0.010653754349167816,0
2022-01-18,18337.2,18350.95,18085.9,18113.05,-0.00964221928388636,0
2022-01-19,18129.2,18129.2,17884.9,17938.4,-0.010112384605093064,0
2022-01-20,17921.0,17943.7,17648.45,17757.0,-0.00787576730303534,0
2022-01-21,17613.7,17707.6,17485.85,17617.15,-0.026567861430481256,0
2022-01-24,17575.15,17599.4,16997.85,17149.1,0.007513513828714171,1
2022-01-25,17001.55,17309.15,16836.8,17277.95,-0.009711800300382815,0
2022-01-27,17062.0,17182.5,16866.75,17110.15,-0.00047924769800385895,0
2022-01-28,17208.3,17373.5,17077.1,17101.95,0.013910694394498744,1
2022-01-31,17301.05,17410.0,17264.15,17339.85,0.013667938303964568,1
2022-02-01,17529.45,17622.4,17244.55,17576.85,0.011557816104705989,1
2022-02-02,17706.2,17794.6,17674.8,17780.0,-0.012362204724409407,0
2022-02-03,17767.75,17781.15,17511.15,17560.2,-0.002499971526520282,0
2022-02-04,17590.2,17617.8,17462.55,17516.3,-0.017281046796412527,0
2022-02-07,17456.3,17536.75,17119.4,17213.6,0.003087674861737316,1
2022-02-08,17279.85,17306.45,17043.65,17266.75,0.011412107084425227,1
2022-02-09,17370.1,17477.15,17339.0,17463.8,0.00813396855209057,1
2022-02-10,17554.1,17639.45,17427.15,17605.85,-0.013126318808804946,0
2022-02-11,17451.0,17454.75,17303.0,17374.75,-0.03061626785996925,0
2022-02-14,17076.15,17099.5,16809.65,16842.8,0.030259220557152106,1
2022-02-15,16933.25,17375.0,16839.25,17352.45,-0.0017432696823791451,0
2022-02-16,17408.45,17490.6,17257.7,17322.2,-0.0010160372239093292,0
2022-02-17,17396.55,17442.9,17235.85,17304.6,-0.001635403303167902,0
2022-02-18,17236.05,17380.8,17219.2,17276.3,-0.004031534529962887,0
2022-02-21,17192.25,17351.05,17070.7,17206.65,-0.0066514981126483495,0
2022-02-22,16847.95,17148.55,16843.8,17092.2,-0.0016937550461614494,0
2022-02-23,17194.5,17220.7,17027.85,17063.25,-0.047781049917219716,0
2022-02-24,16548.9,16705.25,16203.25,16247.95,0.02526164839256649,1
2022-02-25,16515.65,16748.8,16478.3,16658.4,0.008134034481102627,1
2022-02-28,16481.6,16815.9,16356.3,16793.9,-0.011191563603451296,0
2022-03-02,16593.1,16678.5,16478.65,16605.95,-0.006497671015509588,0
2022-03-03,16723.2,16768.95,16442.95,16498.05,-0.015316961701534359,0
2022-03-04,16339.45,16456.0,16133.8,16245.35,-0.023526732264925083,0
2022-03-07,15867.95,15944.6,15711.45,15863.15,0.00947478905513729,1
2022-03-08,15747.75,16028.75,15671.45,16013.45,0.020726326931423247,1
2022-03-09,16078.0,16418.05,15990.0,16345.35,0.015267339029142912,1
2022-03-10,16757.1,16757.3,16447.9,16594.9,0.0021422244183453513,1
