Date,Open,High,Low,Close,Next_Day_Return,Target,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,Momentum_10,RSI_14,MACD,MACD_Signal,Volatility_20
2021-12-15,17323.65,17351.2,17192.2,17221.4,0.0015678167860917,1,-0.0059740604563374156,17388.54,17309.975,17343.245,17750.337,54.5,43.48392971708854,-119.67763759812806,-144.6996685601598,0.01194630423803467
2021-12-16,17373.0,17379.35,17184.95,17248.4,-0.0152593863778669,0,0.001567816786091747,17334.85,17294.65,17310.732500000002,17741.48,-153.25,55.7406305770375,-118.10489746424355,-139.38071434097657,0.011944730221254432
2021-12-17,17276.0,17298.15,16966.45,16985.2,-0.0218425452747097,0,-0.015259386377866946,17229.629999999997,17273.5,17271.752500000002,17724.738,-211.5,48.41505867164626,-136.52278029422814,-138.8091275316269,0.012262575437866267
2021-12-20,16824.25,16840.1,16410.2,16614.2,0.0094286814893282,1,-0.021842545274709746,17078.82,17243.695,17231.635,17704.102000000003,-298.0499999999993,42.52764165080393,-178.99237190980784,-146.8457764072631,0.012439077392858973
2021-12-21,16773.15,16936.4,16688.25,16770.85,0.0110071940301178,1,0.009428681489328294,16968.010000000002,17203.11,17195.010000000002,17683.712,-405.8500000000022,41.89103417210942,-197.730173068343,-157.0226557394791,0.012614191409409047
2021-12-22,16865.55,16971.0,16819.5,16955.45,0.0069092828559547,1,0.011007194030117962,16914.82,17151.68,17172.030000000002,17664.917,-514.2999999999993,40.67268698524184,-195.4315252800916,-164.70442964760161,0.012921166391276882
2021-12-23,17066.8,17118.65,17015.55,17072.6,-0.004032777667139,0,0.006909282855954713,16879.66,17107.255,17148.8475,17647.45,-444.25,47.30697452367513,-182.0581513687248,-168.17517399182628,0.012919490635720631
2021-12-24,17149.5,17155.6,16909.6,17003.75,0.0048518709108284,1,-0.004032777667139054,16883.370000000003,17056.5,17147.7125,17627.686,-507.5499999999993,52.190567392865695,-174.99800769037392,-169.53974073153583,0.0111784297540151
2021-12-27,16937.75,17112.05,16833.2,17086.25,0.0086034091740434,1,0.004851870910828504,16977.78,17028.3,17149.3275,17606.176,-282.0,47.627914295455106,-160.89108021941138,-167.81000862911097,0.011226480941851927
2021-12-28,17177.6,17250.25,17161.15,17233.25,-0.0011402376220388,0,0.008603409174043453,17070.260000000002,17019.135000000002,17161.829999999998,17584.07,-91.65000000000146,43.283158193694945,-136.27863185646856,-161.5037332745825,0.01133085676215169
2021-12-29,17220.1,17285.95,17176.65,17213.6,-0.0005606032439465,0,-0.0011402376220388533,17121.890000000003,17018.355000000003,17164.165,17558.801,-7.80000000000291,41.250973716857544,-117.0098631179062,-152.60495924324727,0.011086919337050052
2021-12-30,17201.45,17264.05,17146.35,17203.95,0.0087247405392365,1,-0.000560603243946467,17148.16,17013.909999999996,17154.28,17534.505,-44.45000000000073,41.15361367757536,-101.34960427011174,-142.35388824862017,0.010623205629997369
2021-12-31,17244.5,17400.8,17238.5,17354.05,0.0156534065535135,1,0.008724740539236553,17218.22,17050.795000000002,17162.1475,17516.254,368.84999999999854,49.59293658984059,-75.9514002808719,-129.0733906550705,0.010467506195897883
